Topic,Words,Frequency,Class
0,"villa, eminence, buis amer, buis, vue admirable",6,Rome.
1,"trône, figue, salle trône, garde suisse, patrimoine",22,Rome.
2,"temple, tombeau, basilique, dôme, mont",33,Rome.
3,"socialisme, catholicisme, dogme, démocratie, christianisme",26,Rome.
4,"porte bronze, prêtre audience, dôme, vieillard regard, contrecoup",7,Rome.
5,"mort amant, frénésie, impur nudité, effrayante, vivant beal",2,Rome.
6,"secrétaire cardinal, cher fils, bois noir, affable, metton pièce",2,Rome.
7,"jésuite, prélat, figue, pape pape, cher fils",30,Rome.
8,"rue ombre, gare voiture, fronton, quartier neuf, villa",2,Rome.
9,"poison, caudataire, panier figue, mort voisin, office panier",1,Rome.
10,"idée cher, antéchrist, apostolique romain, condamnable, eminence",8,Rome.
11,"cent million, spirituel temporel, missionnaire, dissident, conquête domination",2,Rome.
12,"religion religion, respectueux dogme, panier figue, demanderesse, cher fils",5,Rome.
13,"abandon soir, café cher, beauté incomparable, pièce dallée, moitié salle",1,Rome.
14,"nom rapporteur, place peuple, beau place, bande ciel, oncle cardinal",3,Rome.
15,"prélat, romain, jésuite, pontifical, eminence",26,Rome.
16,"aristocratie, peuple aristocratie, marche royal, figue, carrosse",5,Rome.
17,"étroit place, romain, palmier, poignard, barque",3,Rome.
18,"industrie commerce, aristocratie peuple, peuple bourgeoisie, aristocratie, industrie",2,Rome.
19,"jésuite, annulation, annulation mariage, candidat, cardinal candidat",5,Rome.
20,"voûte caisson, paillasse, haut voûte, pape pape, caisson",2,Rome.
21,"perlier, bel perlier, chêne vert, lac, annulation mariage",5,Rome.
22,"cercueil, triple, craquement final, élévation tintaient, midi congé",1,Rome.
23,"confesseur, franciscain, pied sommeil, brutal égalité, profit parole",1,Rome.
24,"fragment colonne, villa, clé porte, bel cher, sarcophage",6,Rome.
25,"papauté, lien charité, fresque, unité, jubilé",12,Rome.
26,"armure, soir bel, félicitation, collier, parure",2,Rome.
27,"figue, diamant noir, panier figue, salle trône, perruche",8,Rome.
28,"villa, agio, émission, foncier, spéculateur",3,Rome.
0,"piscine, seigneur malade, année prochain, prière matin, compartiment",13,Lourdes.
1,"tombeau, brancardier, tombeau marbre, seigneur malade, dais",25,Lourdes.
2,"chariot, rosaire, travée, nuée lumineux, complainte",12,Lourdes.
3,"souffrance humain, fils malade, grain sable, lit voisin, religion nouveau",12,Lourdes.
4,"immaculé conception, infirmerie, demi espagnol, jeudi mars, immaculé",7,Lourdes.
5,"assomption, pèlerinage, cloison, journal billet, fer aide",1,Lourdes.
6,"herse, certificat médecin, certificat, timbre poste, salle ménage",3,Lourdes.
7,"hospitalier, chariot, marchand cierge, baignoire, hermoise",5,Lourdes.
8,"révérend, sœur sac, train blanc, transport malade, train malade",3,Lourdes.
9,"entrepreneur, côté fâcheux, franc conseil, envoi argent, ville franc",2,Lourdes.
10,"frère cher, cher sœur, cher frère, illusion paradis, soir saint",13,Lourdes.
11,"hospitalier, seigneur seigneur, miracle guérison, sangle, seigneur rendez",9,Lourdes.
12,"guérie, lupus, cantique, piscine, guérie guérie",10,Lourdes.
13,"rognon, tarte, abricot, côtelette purée, fruit pêche",4,Lourdes.
15,"église paroissial, paroissial, nouveau église, froid pratique, ulcère",7,Lourdes.
16,"brancardier, révérend, compartiment, valise, dame hospitalier",10,Lourdes.
17,"chapelet, flot prêtre, triforium, miraculé, bannière",8,Lourdes.
18,"malheureux malade, béquille, médecin malade, broc, bidon",1,Lourdes.
19,"plaie apparent, certificat, guérison miracle, fourmillement, diagnostic",3,Lourdes.
20,"train blanc, chef gare, brancardier, pèlerinage, dais",9,Lourdes.
21,"ligament, voyage dernier, digne maison, seigneur digne, seigneur seigneur",4,Lourdes.
22,"année prochain, souffle abbé, église endroit, long chasteté, mariage marchand",2,Lourdes.
23,"cicatrice, nerveux mois, pauvre clé, clé, linge pied",3,Lourdes.
24,"emballage, guérie guérie, bouteille boîte, lumière joie, plaie plaie",10,Lourdes.
25,"tumeur, magnificat, piscine, souffle divin, miraculé",13,Lourdes.
26,"portière wagon, mari sœur, classe chambre, abbé corps, faible misérable",1,Lourdes.
27,"constatation, bureau constatation, cadenas, chariot, cercueil roulant",8,Lourdes.
0,"pelisse, insurgé, membre commission, tas planche, bande insurgé",15,La fortune des Rougon.
1,"borgne, pistolet, charron, pierre tombal, tombal",12,La fortune des Rougon.
2,"insurgé, aire, proclamation, esplanade, ancien cimetière",12,La fortune des Rougon.
3,"fortune temps, faux route, aspiration, clergé, diable nez",2,La fortune des Rougon.
4,"insurrection, salon jaune, rougon, ville neuf, illettré",3,La fortune des Rougon.
5,"tant, lèvre baiser, tocsin, baiser long, lamentation aigre",3,La fortune des Rougon.
6,"receveur, républicain mairie, prix sang, lettre fils, place gros",7,La fortune des Rougon.
7,"ressemblance physique, hôtel poste, compensation, rougon, fils aîné",3,La fortune des Rougon.
8,"insurgé, contingent, commandant, salon jaune, fonctionnaire",15,La fortune des Rougon.
